0000002000;scans;0000000052;DataLength
"header";0000000040;"lines"
"Date";26/10/2022;"Time";14:57:02
"ID";"EQP LOW ENERGY #15376";"Version";3
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"SEM";"mass";1,00;200,00;1,00;100,000;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"1st-dynode";-3500;"V"
"CRV_range";7;"c/s"
"CRV_resolution";6;"bits"
"D.C.quad";-12;"%"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"axis";-40,0;"V"
"cage";3,0;"V"
"delta-m";0;"%"
"discriminator";-10;"%"
"electron-energy";70,0;"V"
"emission";2,0000;"uA"
"energy";1,10;"V"
"extractor";304;"V"
"flight-focus";-105;"V"
"focus2";-200;"V"
"gate_delay";0,1;"uS"
"gate_width";0,0;"uS"
"gating";0;"( 1 = on, 0 = off )"
"gating_invert";0;"( 0 = normal, 1 = invert)"
"horiz";11;"%"
"lens1";356;"V"
"lens2";-110;"V"
"mass";28,00;"amu"
"mode-change-delay";1000;"ms"
"multiplier";1800;"V"
"plates";7,40;"V"
"resolution";0;"%"
"suppressor";-200;"V"
"transit-energy";3,00;"V"
"vert";-34;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"SEM c/s"
0000000001;00:00:00;0000000071;  170,00;         0
0000000001;00:00:00;0000000071;  171,00;         0
0000000001;00:00:00;0000000071;  172,00;         0
0000000001;00:00:00;0000000071;  173,00;         0
0000000001;00:00:00;0000000071;  174,00;         0
0000000001;00:00:00;0000000071;  175,00;         0
0000000001;00:00:00;0000000071;  176,00;         0
0000000001;00:00:00;0000000071;  177,00;         0
0000000001;00:00:00;0000000071;  178,00;         0
0000000001;00:00:00;0000000071;  179,00;         0
0000000001;00:00:00;0000000071;  180,00;         0
0000000001;00:00:00;0000000071;  181,00;         0
0000000001;00:00:00;0000000071;  182,00;         0
0000000001;00:00:00;0000000071;  183,00;         0
0000000001;00:00:00;0000000071;  184,00;         0
0000000001;00:00:00;0000000071;  185,00;         0
0000000001;00:00:00;0000000071;  186,00;         0
0000000001;00:00:00;0000000071;  187,00;         0
0000000001;00:00:00;0000000071;  188,00;         0
0000000001;00:00:00;0000000071;  189,00;         0
0000000001;00:00:00;0000000071;  190,00;         0
0000000001;00:00:00;0000000071;  191,00;         0
0000000001;00:00:00;0000000071;  192,00;         0
0000000001;00:00:00;0000000071;  193,00;         0
0000000001;00:00:00;0000000071;  194,00;         0
0000000001;00:00:00;0000000071;  195,00;         0
0000000001;00:00:00;0000000071;  196,00;         0
0000000001;00:00:00;0000000071;  197,00;         0
0000000001;00:00:00;0000000071;  198,00;         0
0000000001;00:00:00;0000000071;  199,00;         0
0000000001;00:00:00;0000000071;  200,00;         0
0000000002;00:00:22;0000022143;    1,00;       220
0000000002;00:00:22;0000022143;    2,00;         0
0000000002;00:00:22;0000022143;    3,00;         0
0000000002;00:00:22;0000022143;    4,00;         0
0000000002;00:00:22;0000022143;    5,00;         0
0000000002;00:00:22;0000022143;    6,00;         0
0000000002;00:00:22;0000022143;    7,00;         0
0000000002;00:00:22;0000022143;    8,00;         0
0000000002;00:00:22;0000022143;    9,00;         0
0000000002;00:00:22;0000022143;   10,00;         0
0000000002;00:00:22;0000022143;   11,00;         0
0000000002;00:00:22;0000022143;   12,00;        50
0000000002;00:00:22;0000022143;   13,00;       210
0000000002;00:00:22;0000022143;   14,00;        90
0000000002;00:00:22;0000022143;   15,00;       220
0000000002;00:00:22;0000022143;   16,00;         0
0000000002;00:00:22;0000022143;   17,00;        10
0000000002;00:00:22;0000022143;   18,00;       190
0000000002;00:00:22;0000022143;   19,00;        10
